First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Brian,Foster,The Foster Boy,Apr 03 1984,5' 9",170 lbs.,71.0",Orthodox,27,10,0,--,3.30,39,1.63,65,3.67,60,37,1.8
Xavier,Foupa-Pokam,Professor X,Jul 03 1982,6' 1",185 lbs.,--,Open Stance,32,22,0,--,1.47,43,2.50,49,0.00,0,16,0.0
Mason,Fowler,,--,5' 11",170 lbs.,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Brandon,Foxworth,,Apr 28 1979,5' 11",145 lbs.,--,Orthodox,18,4,0,--,1.33,32,4.59,50,0.00,0,0,0.0
Hermes,Franca,,Aug 26 1974,5' 6",155 lbs.,71.0",Orthodox,24,17,0,--,1.78,39,2.85,55,1.53,36,37,2.4
Glaico,Franca Moreira,Nego,Feb 28 1991,6' 0",155 lbs.,77.0",Orthodox,15,5,0,--,2.35,42,3.46,47,2.68,42,76,0.3
Francisco,France,Kiko,Jan 21 1983,6' 0",205 lbs.,--,,13,5,1,--,0.54,33,3.51,27,0.00,0,0,6.1
John,Franchi,,Jul 16 1982,5' 6",145 lbs.,67.0",Orthodox,6,2,0,--,1.83,48,2.59,48,2.68,80,40,0.3
Rich,Franklin,Ace,Oct 05 1974,6' 1",185 lbs.,76.0",Southpaw,29,7,0,--,4.10,44,2.07,62,1.31,66,63,0.7
Zoila,Frausto,Warrior Princess,--,5' 4",135 lbs.,--,Orthodox,13,5,0,--,0.77,31,1.64,53,0.00,0,57,0.0
Stephanie,Frausto,Lil Bovy,Sep 20 1990,5' 2",115 lbs.,61.0",Orthodox,8,7,0,--,1.43,21,3.57,60,0.00,0,0,0.0
Zane,Frazier,Nasty,--,6' 5",250 lbs.,--,Orthodox,4,11,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Gary,Frazier,,--,6' 0",245 lbs.,--,Orthodox,3,3,0,--,1.50,39,2.77,46,0.00,0,100,0.0
Justin,Frazier,The Grizzly Bear,Jun 15 1989,6' 0",265 lbs.,75.0",Southpaw,10,3,0,--,1.11,66,6.11,4,0.00,0,0,0.0
Ian,Freeman,The Machine,Nov 10 1966,5' 11",225 lbs.,--,Orthodox,20,7,1,--,2.54,48,3.11,44,1.44,40,80,0.7
Jason,Freeman,,Sep 02 1976,6' 2",225 lbs.,--,,6,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Willamy,Freire,Chiquerim,Jul 28 1987,5' 8",155 lbs.,--,,26,6,0,--,1.53,37,0.93,62,0.50,100,73,0.0
Patricio,Freire,Pitbull,Jul 07 1987,5' 5",145 lbs.,65.0",,26,4,0,--,2.84,41,4.43,60,0.60,18,94,0.6
Patricky,Freire,Pitbull,Jun 01 1986,5' 7",155 lbs.,71.0",,17,8,0,--,3.06,44,3.34,69,1.26,33,100,0.0
Jeremy,Freitag,,--,6' 1",205 lbs.,--,,6,10,0,--,0.00,0,8.37,19,0.00,0,33,1.9
Rafael,Freitas,Capoeira,--,--,205 lbs.,--,Orthodox,3,6,0,--,2.00,29,8.00,51,11.25,50,0,0.0
Donavon,Frelow,,Jan 20 1985,5' 7",135 lbs.,--,Orthodox,6,3,0,--,2.40,27,3.20,52,1.00,100,26,0.0
Clay,French,,Oct 07 1980,5' 7",161 lbs.,--,Southpaw,19,7,0,--,1.52,50,1.27,16,0.00,0,100,0.0
Mike,French,,May 29 1975,5' 10",145 lbs.,--,,9,10,0,--,0.23,23,2.17,42,0.00,0,22,1.0
Matt,Frevola,The SteamRolla,Jun 11 1990,5' 9",155 lbs.,71.0",Orthodox,8,2,1,--,2.73,37,3.44,58,2.59,37,40,1.1
Jinh Yu,Frey,,May 20 1985,5' 3",115 lbs.,65.0",Southpaw,10,6,0,--,1.79,40,3.35,44,1.06,42,83,0.7
Artem,Frolov,,Sep 07 1991,5' 10",185 lbs.,--,,11,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Sarah,Frota,A Treta,Apr 14 1987,5' 6",125 lbs.,69.0",Southpaw,9,2,0,--,4.52,52,2.57,55,0.00,0,53,0.0
Don,Frye,The Predator,Nov 23 1965,6' 1",219 lbs.,--,Orthodox,20,9,1,--,2.87,64,3.57,37,0.91,57,45,0.7
Tony,Fryklund,The Freak,Mar 26 1971,6' 0",185 lbs.,--,Orthodox,14,9,1,--,3.49,39,6.50,43,0.00,0,66,0.5
Jesse,Fujarczyk,The Ronin,Jan 28 1983,6' 4",225 lbs.,--,Southpaw,2,2,0,--,1.03,33,4.91,38,0.00,0,25,0.0
Katsuhisa,Fujii,Shamoji,Aug 15 1972,6' 0",205 lbs.,--,Orthodox,9,18,1,--,4.00,50,4.43,64,2.14,25,50,2.1
Megumi,Fujii,Mega Megu,Apr 26 1974,5' 3",113 lbs.,--,,26,3,0,--,2.40,42,0.00,100,0.00,0,0,12.0
Kazuyuki,Fujita,Ironhead,Oct 16 1970,6' 0",235 lbs.,--,Orthodox,15,12,0,--,1.05,49,1.99,52,2.78,36,85,0.6
Keisuke,Fujiwara,,--,5' 6",139 lbs.,--,Switch,17,12,5,--,0.73,44,1.20,47,0.00,0,23,2.5
Riki,Fukuda,,Jan 06 1981,6' 0",185 lbs.,73.0",Southpaw,24,9,0,--,4.24,43,3.71,64,2.17,43,70,0.0
Masio,Fullen,Lobo,Oct 06 1986,5' 10",145 lbs.,70.0",Orthodox,11,7,0,--,2.46,32,3.50,54,0.47,33,69,0.0
Travis,Fulton,The Ironman,May 29 1977,6' 0",240 lbs.,--,Orthodox,253,53,10,--,0.00,0,0.00,0,0.00,0,0,0.0
Sam,Fulton,,--,--,--,--,,0,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Masakatsu,Funaki,,Mar 13 1969,6' 0",185 lbs.,--,Southpaw,39,13,2,--,1.82,68,2.92,35,0.00,0,0,5.5
Ricardo,Funch,Golden Boy,Aug 14 1980,5' 10",170 lbs.,74.0",Southpaw,9,6,0,--,2.61,65,3.57,40,1.24,18,60,0.0
Katsuaki,Furuki,,Nov 10 1980,6' 0",168 lbs.,--,,1,1,0,--,0.27,10,2.67,39,0.00,0,0,3.0
James,Gabert,,--,--,178 lbs.,--,,6,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Gustavo,Gabriel,,Apr 01 1994,5' 6",125 lbs.,--,Orthodox,13,1,0,--,4.06,65,4.26,46,0.00,0,50,0.0
Claudia,Gadelha,Claudinha,Dec 07 1988,5' 4",115 lbs.,63.0",Orthodox,18,5,0,--,3.31,41,4.57,57,3.03,42,58,0.7
Alavutdin,Gadjiev,,Jun 23 1982,6' 2",185 lbs.,--,Orthodox,18,13,1,--,0.99,27,0.99,57,0.00,0,50,0.0
Justin,Gaethje,The Highlight,Nov 14 1988,5' 11",155 lbs.,70.0",Orthodox,22,3,0,--,7.46,59,7.99,55,0.00,0,69,0.0
Sheila,Gaff,The German Tank,Dec 29 1989,5' 5",135 lbs.,--,Orthodox,9,7,0,--,1.60,50,2.89,28,0.00,0,20,0.0
Muin,Gafurov,Tajik,May 17 1996,5' 7",135 lbs.,--,,16,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mitch,Gagnon,,Oct 10 1984,5' 5",135 lbs.,65.0",Southpaw,12,5,0,--,2.76,46,2.21,61,1.16,25,65,1.9
Brandon,Gaines,,--,6' 3",185 lbs.,--,,5,21,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Travis,Galbraith,The Gladiator,May 18 1981,6' 0",170 lbs.,--,Orthodox,18,7,0,--,2.21,40,3.45,48,1.33,25,0,1.3
Dave,Galera,Scarecrow,Jan 12 1978,5' 11",135 lbs.,--,Orthodox,5,1,0,--,1.67,69,0.53,33,0.00,0,14,2.0
Zelg,Galesic,Benkei,Feb 16 1979,6' 2",185 lbs.,--,Orthodox,11,9,0,--,4.86,62,0.61,66,1.30,100,20,1.3
Mickey,Gall,,Jan 22 1992,6' 2",170 lbs.,74.0",Switch,6,3,0,--,2.55,46,3.65,42,1.15,26,40,2.1
Daniel,Gallemore,Big Kansas,--,6' 5",265 lbs.,--,,7,3,0,--,3.10,41,6.00,52,0.00,0,0,0.0
Tom,Gallicchio,Da Tank,Sep 23 1986,5' 10",170 lbs.,--,Southpaw,19,10,0,--,3.53,26,7.07,43,1.00,11,0,0.0
Turrell,Galloway,,--,5' 3",145 lbs.,--,,8,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Eric,Galvan,,--,--,155 lbs.,--,,0,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Andre,Galvao,,Sep 29 1982,5' 7",168 lbs.,--,Orthodox,5,2,0,--,2.34,52,1.56,58,2.02,27,0,2.8
Marcos,Galvao,Loro,Jun 23 1981,5' 7",135 lbs.,--,Orthodox,18,8,1,--,1.97,32,3.86,61,2.27,28,88,1.1
Lucas,Gamaza,,--,--,170 lbs.,--,,8,4,0,--,7.57,31,6.99,45,0.00,0,0,0.0
Joey,Gambino,The Raging Warrior,Oct 26 1988,5' 7",145 lbs.,--,Orthodox,9,2,0,--,2.47,35,2.53,51,0.00,0,42,0.8
Manvel,Gamburyan,The Anvil,May 08 1981,5' 5",135 lbs.,67.0",Orthodox,15,10,0,--,2.13,41,2.83,55,3.26,34,69,0.7
Mateusz,Gamrot,Gamer,Dec 11 1990,5' 10",155 lbs.,70.0",Southpaw,18,1,0,--,4.26,48,2.20,64,4.91,33,100,0.0
Shamil,Gamzatov,,Aug 09 1990,6' 2",205 lbs.,76.0",Orthodox,14,0,0,--,4.27,46,2.13,58,0.00,0,50,0.0
Ariel,Gandulla,,May 07 1968,5' 11",205 lbs.,--,Orthodox,7,9,0,--,1.95,23,2.07,72,1.88,66,0,0.0
Ciryl,Gane,Bon Gamin,Apr 12 1990,6' 4",245 lbs.,81.0",Orthodox,8,0,0,--,5.04,55,1.85,69,1.13,26,100,0.5
Sean,Gannon,The Cannon,--,6' 3",265 lbs.,--,Southpaw,2,1,0,--,0.00,0,6.38,28,0.00,0,50,0.0
Eduardo,Garagorri,,May 28 1989,5' 9",145 lbs.,70.0",Orthodox,13,2,0,--,3.42,51,2.36,58,0.48,100,61,0.0
Cody,Garbrandt,No Love,Jul 07 1991,5' 8",135 lbs.,65.0",Orthodox,12,3,0,--,3.35,37,3.33,65,0.84,33,100,0.0
Leonard,Garcia,Bad Boy,Jul 14 1979,5' 10",145 lbs.,68.0",Orthodox,18,13,1,--,2.77,24,4.79,52,0.30,26,42,0.5
Edgar,Garcia,,Feb 22 1984,5' 10",170 lbs.,71.0",Orthodox,14,5,0,--,3.16,29,4.23,60,2.21,57,50,0.6
Alejandro,Garcia,Alex,--,5' 7",145 lbs.,--,,14,10,0,--,1.22,62,1.14,65,8.55,87,66,0.0
Alex,Garcia,The Dominican Nightmare,Jul 14 1987,5' 9",170 lbs.,72.0",Orthodox,15,6,0,--,1.81,31,3.03,59,3.72,52,66,0.1
Nick,Garcia,Nitro,--,5' 4",125 lbs.,--,,8,3,0,--,0.67,25,3.03,50,0.00,0,83,5.1
Steve,Garcia,Mean Machine,May 22 1992,6' 0",155 lbs.,75.0",Southpaw,11,4,0,--,4.31,55,2.52,36,0.61,25,100,0.6
Elias,Garcia,,Sep 13 1992,5' 5",125 lbs.,67.0",Southpaw,6,2,0,--,1.59,27,5.05,50,0.68,14,33,1.4
Rafa,Garcia,Gifted,Aug 05 1994,5' 7",155 lbs.,70.0",Orthodox,12,1,0,--,3.47,23,6.60,54,0.00,0,100,0.0
Rulon,Gardner,,Aug 16 1971,6' 3",265 lbs.,--,Orthodox,1,0,0,--,2.05,25,1.45,60,0.75,100,100,0.0
David,Gardner,,May 17 1977,5' 11",155 lbs.,--,Orthodox,18,21,0,--,0.17,100,0.34,0,0.00,0,66,0.0
Pablo,Garza,The Scarecrow,Sep 16 1983,6' 1",145 lbs.,73.0",Orthodox,12,4,0,--,3.37,44,2.70,50,0.94,25,15,1.3
Azamat,Gashimov,,Apr 07 1990,5' 6",125 lbs.,--,Orthodox,8,3,0,--,1.24,21,4.75,53,1.69,25,0,0.0
Brian,Gassaway,,Aug 07 1972,6' 1",170 lbs.,--,Orthodox,29,20,2,--,0.34,26,3.65,44,0.00,0,42,0.0
Kelvin,Gastelum,,Oct 24 1991,5' 9",185 lbs.,71.0",Southpaw,17,7,0,--,3.52,42,3.24,57,1.16,37,62,0.1
Willie,Gates,,Jan 21 1987,5' 8",125 lbs.,72.0",Orthodox,12,7,0,--,1.80,38,4.28,38,0.00,0,67,0.4
Melissa,Gatto,,Feb 05 1996,5' 5",135 lbs.,--,Orthodox,6,0,2,--,0.00,0,0.00,0,0.00,0,0,0.0
Louis,Gaudinot,Goodnight,Aug 28 1984,5' 3",125 lbs.,63.0",Orthodox,8,4,0,--,2.34,37,6.42,48,0.57,40,31,1.1
Charlene,Gellner,Princess,--,5' 2",125 lbs.,--,,0,4,0,--,2.01,42,3.24,43,0.00,0,0,1.7
Chad,George,Savage,Apr 30 1982,5' 6",135 lbs.,68.0",Southpaw,16,8,0,--,1.26,50,1.11,65,3.08,46,0,1.3
Paul,Georgieff,,Sep 22 1982,6' 2",170 lbs.,--,Orthodox,6,2,0,--,2.55,40,2.34,35,0.00,0,0,0.0
Brian,Geraghty,Duke,Nov 04 1980,5' 7",155 lbs.,--,Orthodox,26,18,1,--,0.47,25,9.77,36,0.00,0,50,0.0
Derek,Getzel,The Pretzel,--,6' 0",155 lbs.,--,,8,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Karine,Gevorgyan,The Princess,Mar 09 1989,5' 4",125 lbs.,63.0",,3,3,0,--,1.20,20,1.80,76,0.00,0,0,0.0
Darrel,Gholar,,--,5' 8",194 lbs.,--,Orthodox,5,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tiki,Ghosn,,Feb 09 1977,5' 10",170 lbs.,--,Orthodox,10,7,1,--,2.78,46,2.94,58,0.41,50,61,0.0
Christos,Giagos,The Spartan,Jan 23 1990,5' 10",155 lbs.,71.0",Orthodox,19,8,0,--,2.93,41,2.77,50,3.38,41,50,0.5
Joe,Giannetti,,Jul 05 1995,6' 0",155 lbs.,74.0",Southpaw,6,1,0,--,1.93,38,2.80,40,1.00,16,0,0.0
Nick,Gibbons,,--,5' 10",155 lbs.,--,,2,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
James,Giboo,,Jan 06 1978,5' 11",170 lbs.,--,Orthodox,13,5,0,--,1.20,27,7.08,39,0.00,0,0,0.0
Lance,Gibson,Fearless,Nov 20 1970,5' 9",185 lbs.,--,Orthodox,4,5,0,--,1.21,75,6.44,20,0.00,0,0,0.0
Lee,Gibson,Lethal,--,5' 7",155 lbs.,--,,12,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Cody,Gibson,The Renegade,Sep 11 1987,5' 10",135 lbs.,71.0",Orthodox,15,7,0,--,2.47,31,2.54,63,1.85,38,58,0.4
Chase,Gibson,El Guero,Feb 07 1990,5' 10",155 lbs.,72.0",Orthodox,9,5,0,--,3.13,54,6.40,52,0.00,0,0,0.0
Kenny,Giddens,,--,5' 11",155 lbs.,--,,12,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Thomas,Gifford,The Young Lion,Jul 26 1992,6' 1",155 lbs.,75.0",Orthodox,14,9,0,--,3.97,37,6.45,37,0.50,33,33,0.0
Joseph,Gigliotti,Capo,Aug 13 1993,5' 11",185 lbs.,--,Orthodox,7,2,0,--,1.04,39,2.92,45,1.56,100,50,0.8
Joey,Gilbert,,Jun 05 1976,5' 11",155 lbs.,--,Orthodox,2,3,0,--,0.61,42,4.44,31,0.00,0,0,0.0
Trevin,Giles,,Aug 06 1992,6' 0",185 lbs.,74.0",Orthodox,14,2,0,--,3.26,56,1.88,62,1.37,80,79,0.3
Kultar,Gill,Black Mamba,Mar 24 1979,6' 0",154 lbs.,--,Orthodox,12,8,0,--,1.14,50,0.40,41,1.71,66,38,0.0
Jesse,Gillespie,,--,--,185 lbs.,--,,3,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Gregor,Gillespie,The Gift,Nov 13 1986,5' 7",155 lbs.,71.0",Orthodox,14,1,0,--,3.74,52,2.30,57,6.86,48,100,0.8
Jason,Gilliam,,--,6' 0",170 lbs.,--,Orthodox,14,9,0,--,0.79,33,3.14,42,0.00,0,0,0.0
Krishaun,Gilmore,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Alex,Gilpin,,Mar 26 1992,5' 7",145 lbs.,--,Orthodox,11,1,0,--,6.80,54,12.29,42,2.17,25,0,2.2
Bob,Gilstrap,,--,6' 3",200 lbs.,--,Orthodox,5,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Demetrius,Gioulacos,,--,5' 11",185 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Billy,Giovanella,Wolverine,Aug 20 1985,5' 8",125 lbs.,--,,9,5,0,--,1.27,40,2.02,52,0.87,12,100,1.7
He-Man,Gipson,,--,--,--,--,,1,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Israel,Giron,El Rojo,Jan 16 1974,5' 8",155 lbs.,--,,19,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Brandon,Girtz,Cold Roll,Mar 06 1985,5' 7",155 lbs.,--,,14,7,0,--,2.50,60,1.92,47,5.76,100,100,0.0
Jason,Glaza,,--,6' 0",230 lbs.,--,,3,2,0,--,4.34,54,0.43,40,4.34,100,0,4.3
Mike,Glenn,,Oct 09 1977,--,205 lbs.,--,,5,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rick,Glenn,The Gladiator,Apr 12 1989,6' 0",145 lbs.,70.0",Southpaw,21,6,1,--,4.31,42,4.29,53,0.67,13,66,0.3
Mark,Godbeer,The Hand Of,Nov 22 1983,6' 4",240 lbs.,77.0",Orthodox,13,4,0,--,3.97,53,3.30,54,0.00,0,28,0.0
Clint,Godfrey,,Oct 21 1982,5' 6",135 lbs.,--,Southpaw,13,3,0,--,0.57,31,0.96,65,0.85,25,50,0.0
Loopy,Godinez,,Sep 06 1993,5' 2",115 lbs.,61.0",Orthodox,5,1,0,--,2.67,54,2.07,64,3.00,33,85,0.0
Jason,Godsey,,--,6' 2",230 lbs.,--,Orthodox,16,16,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Allan,Goes,,Apr 20 1971,6' 0",205 lbs.,--,Orthodox,10,5,2,--,0.64,52,1.35,41,1.75,40,0,2.6
Jonny,Goh,,--,5' 11",155 lbs.,--,,3,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Hannah,Goldy,24K,May 18 1992,5' 4",125 lbs.,61.0",Orthodox,5,1,0,--,6.53,46,3.90,55,0.00,0,66,0.0
Marcelo,Golm,,Sep 15 1992,6' 3",249 lbs.,75.0",Orthodox,6,3,0,--,4.27,58,4.30,45,0.45,50,87,0.5
Sergio,Gomez,,Apr 29 1982,5' 6",155 lbs.,--,Orthodox,10,3,0,--,1.50,42,1.16,56,2.57,66,31,0.0
Frank,Gomez,,Mar 31 1986,5' 10",135 lbs.,67.0",Orthodox,10,6,0,--,1.52,48,0.79,66,1.14,60,70,0.8
Alan,Gomez,,--,--,155 lbs.,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
David,Gomez,,Aug 08 1983,--,155 lbs.,--,,1,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ulysses,Gomez,Useless,May 25 1983,5' 6",125 lbs.,--,Orthodox,9,5,0,--,2.72,25,3.57,68,0.00,0,0,0.0
Joey,Gomez,KO King,Jul 21 1986,5' 10",135 lbs.,73.0",Orthodox,6,2,0,--,2.44,28,4.46,55,0.62,100,50,0.0
Luis,Gomez,Tiger Junior,Jan 28 1995,5' 7",145 lbs.,68.0",Orthodox,4,1,0,--,1.57,33,4.03,55,4.48,50,33,0.0
Joey,Gomez,,Aug 29 1989,5' 10",155 lbs.,71.0",Orthodox,7,1,0,--,3.73,49,3.33,50,2.00,28,0,0.0
Edson,Gomez,,Feb 23 1991,5' 8",170 lbs.,69.0",Switch,6,2,0,--,2.66,32,8.78,45,0.00,0,0,0.0
Silvana,Gomez Juarez,La Malvada,Jun 12 1984,5' 3",125 lbs.,--,Orthodox,6,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Takanori,Gomi,The Fireball Kid,Sep 22 1978,5' 7",155 lbs.,70.0",Southpaw,35,14,0,--,3.81,41,3.52,60,1.23,65,63,0.8
Akihiro,Gono,,Oct 07 1974,5' 7",170 lbs.,68.0",Switch,35,21,8,--,2.18,48,2.67,63,1.01,84,46,0.5
Gabriel,Gonzaga,Napao,May 18 1979,6' 2",242 lbs.,76.0",Orthodox,17,11,0,--,2.12,45,2.94,57,2.80,39,66,1.1
Justin,Gonzales,J-Train,Apr 28 1991,5' 9",145 lbs.,72.0",Orthodox,6,0,0,--,6.67,80,0.87,43,14.00,73,100,0.0
Fernando,Gonzalez,The Menifee Maniac,Sep 15 1983,5' 9",170 lbs.,68.0",Southpaw,26,14,0,--,4.47,47,4.03,65,0.86,33,43,1.4
Nick,Gonzalez,The Ghost,Mar 03 1981,5' 6",155 lbs.,--,Orthodox,17,12,0,--,0.59,20,2.35,33,0.00,0,50,0.0
Fabian,Gonzalez,,--,5' 10",135 lbs.,--,,2,1,0,--,3.90,48,4.39,51,0.00,0,66,0.0
Lewis,Gonzalez,Lethal,Sep 19 1987,5' 10",170 lbs.,--,Orthodox,11,3,0,--,1.40,37,1.87,41,2.00,33,62,0.0
Jason,Gonzalez,Nicoya,Feb 28 1990,6' 2",155 lbs.,74.0",Southpaw,11,5,0,--,3.06,39,3.13,58,0.00,0,30,1.0
Pearl,Gonzalez,,Aug 12 1986,5' 4",115 lbs.,--,Orthodox,6,3,0,--,2.23,37,4.07,57,1.04,11,0,0.5
Jorge,Gonzalez,Street,Feb 29 1984,6' 2",205 lbs.,76.0",Orthodox,16,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mikey,Gonzalez,Rolls,Aug 13 1985,5' 11",155 lbs.,74.0",Orthodox,7,2,0,--,0.91,16,14.55,11,0.00,0,0,0.0
Kier,Gooch,,Apr 21 1986,--,155 lbs.,--,,2,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Lyman,Good,Cyborg,May 26 1985,6' 0",170 lbs.,74.0",Orthodox,21,6,0,--,5.34,48,4.01,63,0.27,100,75,0.0
Jared,Gooden,NiteTrain,Dec 05 1993,6' 0",170 lbs.,77.0",Orthodox,17,6,0,--,4.77,41,7.60,49,0.50,100,83,0.0
Gary,Goodridge,Big Daddy,Jan 17 1966,6' 3",249 lbs.,--,Orthodox,23,22,1,--,1.84,56,2.14,48,0.40,100,53,0.8
Jordan,Goodwin,,--,--,155 lbs.,--,,0,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Gerard,Gordeau,,Mar 30 1959,6' 5",216 lbs.,--,Orthodox,2,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Eddie,Gordon,Truck,Jul 22 1983,6' 0",185 lbs.,76.0",Orthodox,8,4,0,--,2.03,32,2.57,60,1.93,83,63,0.0
Jared,Gordon,Flash,Sep 06 1988,5' 9",145 lbs.,68.0",Orthodox,17,4,0,--,5.54,56,3.22,60,2.81,39,55,0.0
Tebaris,Gordon,Boom,Jul 19 1988,6' 1",265 lbs.,--,Orthodox,3,1,0,--,3.53,16,49.41,22,0.00,0,0,0.0
Malcolm,Gordon,X,May 19 1990,5' 7",125 lbs.,71.0",Switch,12,5,0,--,0.55,13,3.87,54,0.00,0,0,0.0
Alex,Gorgees,Hitman,Aug 11 1995,6' 2",155 lbs.,74.0",Switch,6,1,0,--,0.67,32,2.27,38,0.00,0,54,0.0
Tim,Gorman,The Psycho,Apr 29 1983,5' 5",135 lbs.,--,Southpaw,9,4,0,--,2.73,31,5.57,46,1.00,9,33,0.0
Chase,Gormley,,--,6' 3",265 lbs.,--,Orthodox,14,6,0,--,3.60,42,6.03,44,3.12,42,0,1.0
Jonathan,Goulet,The Road Warrior,Jul 13 1979,6' 0",170 lbs.,73.0",Orthodox,23,12,0,--,1.61,41,2.01,46,4.17,70,45,0.6
Thibault,Gouti,GT,Feb 27 1987,5' 10",155 lbs.,72.0",Orthodox,12,5,0,--,3.68,34,5.64,50,1.23,80,83,0.3
Wilson,Gouveia,,Oct 03 1978,6' 1",185 lbs.,76.0",Orthodox,14,8,0,--,3.02,39,4.06,56,0.90,66,57,2.2
Todd,Gouwenberg,,Sep 25 1974,6' 1",205 lbs.,--,Orthodox,9,5,0,--,0.52,23,2.93,42,1.57,33,50,0.0
Hugo,Govea,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Justin,Governale,The Therapist,--,--,145 lbs.,--,,5,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Damian,Grabowski,The Polish Pitbull,May 12 1980,6' 1",241 lbs.,75.0",Orthodox,20,5,0,--,4.00,36,7.65,51,0.00,0,0,0.0
Royce,Gracie,,Dec 12 1966,6' 1",175 lbs.,--,Southpaw,15,2,3,--,0.88,41,1.13,37,0.00,0,66,0.8
Crosley,Gracie,,Jul 18 1979,5' 9",190 lbs.,--,Orthodox,2,2,0,--,1.69,37,1.54,60,3.46,85,50,0.6
Daniel,Gracie,,--,6' 2",225 lbs.,--,Orthodox,5,4,1,--,1.90,38,1.33,59,0.36,100,80,2.1
Ralph,Gracie,,--,5' 9",183 lbs.,--,Orthodox,6,1,0,--,0.86,37,1.72,31,0.00,0,25,4.0
Renzo,Gracie,,Mar 11 1967,5' 10",185 lbs.,--,Orthodox,13,7,1,--,1.71,41,1.67,55,1.13,20,40,0.8
Rickson,Gracie,,Nov 20 1958,5' 10",185 lbs.,--,Switch,11,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rodrigo,Gracie,,Apr 11 1975,6' 0",183 lbs.,--,Orthodox,6,2,1,--,1.34,51,0.86,46,1.49,50,75,0.4
Royler,Gracie,,Dec 06 1965,5' 8",150 lbs.,--,Southpaw,5,5,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Ryan,Gracie,,Aug 14 1974,5' 9",200 lbs.,--,Orthodox,5,2,0,--,0.82,61,0.50,40,2.83,75,25,0.9
Ralek,Gracie,,Oct 04 1985,6' 2",210 lbs.,--,Orthodox,3,1,0,--,1.61,46,1.05,55,2.50,75,0,1.7
Rolles,Gracie,,Jul 14 1978,6' 4",242 lbs.,--,Orthodox,8,4,0,--,2.30,32,3.38,55,2.30,10,0,0.0
Cesar,Gracie,,--,5' 10",181 lbs.,--,Orthodox,0,1,0,--,0.00,0,17.14,50,0.00,0,0,0.0
Roger,Gracie,,Sep 26 1981,6' 4",185 lbs.,79.0",Orthodox,8,2,0,--,1.78,35,1.79,61,1.87,53,60,1.9
Igor,Gracie,,Feb 04 1980,5' 11",170 lbs.,--,,5,4,0,--,1.86,60,0.99,50,3.72,50,0,3.7
Neiman,Gracie,,--,6' 0",170 lbs.,--,,6,0,0,--,0.77,100,0.38,75,5.77,100,0,5.8
Kron,Gracie,,Jul 11 1988,5' 9",145 lbs.,70.0",Southpaw,5,1,0,--,5.15,41,8.13,53,0.88,25,0,0.9
Steven,Graham,,--,6' 1",290 lbs.,--,Orthodox,2,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Scott,Graham,,--,6' 4",185 lbs.,--,Orthodox,3,1,0,--,0.91,42,2.27,28,0.00,0,0,0.0
Miranda,Granger,Danger,Apr 13 1992,5' 7",125 lbs.,68.0",Orthodox,7,2,0,--,2.91,48,2.64,59,0.00,0,40,0.0
